sorrybowwow	1	1	2	11	2	-7	1	1962	2.29052	554	0.0108221	0.0835157	1116	17	154348	330296
itsnotgonnawork	4	5	6	15	5	-6	1	39	2.51282	13	0.334711	0.188386	32	0	0	0
WeCoolAndAllBut	2	2	3	15	5	-1	1	388	0.190722	4	0.230769	0.00773196	9	1	7615	7615
thingssaidb4sex	4	4	5	15	4	-3	1	7	0	0	0	0	1	0	0	0
helooksgoodbut	3	3	5	14	4	-1	1	30	0.0666667	1	0	0	2	1	4723	4723
uknowusprung	4	6	11	12	4	-13	1	14	1.57143	4	0.166667	0.107143	11	0	0	0
chrisbrownsbowtie	3	4	5	17	3	-17	1	70	0.571429	9	0.122449	0.0460317	13	1	5948	5948
fuckyoumean	2	2	5	11	3	-7	1	736	2.08152	335	0.00864046	0.12969	514	4	149210	190065
celebrityperfumes	2	2	3	17	2	-22	1	138	0.202899	5	0.230769	0.0217391	6	1	5652	5652
GODismyhero	1	1	2	11	4	-20	1	689	2.02322	497	0.00368673	0.19833	537	3	1657119	1873394
ruleofrelationships	4	4	7	19	3	-21	2	27	0.37037	3	0	0	6	0	0	0
SouljaBoyisGod	2	2	3	14	4	-4	1	37	0	0	0	0	1	0	0	0
fatgirlremix	5	6	7	12	3	-17	1	16	0.5	2	0	0	3	0	0	0
iamproudof	3	3	12	10	4	-8	1	70	0.0285714	1	0	0	2	0	0	0
crazybabydaddys	1	1	2	15	3	-2	1	356	1.02247	148	0.0024644	0.0374555	163	2	154348	169343
ImTwitaddicted	2	3	4	14	4	-14	1	97	1.6701	26	0.283163	0.131936	42	8	130900	415117
ijustwannarun	3	3	6	13	4	-3	1	139	0.129496	2	0	0	3	1	5269	5269
classicgame	1	1	2	11	2	-15	1	407	1.06143	180	0.00185701	0.0335804	200	1	154348	154348
Minimacs	1	1	3	8	2	-14	1	299	0.0334448	2	0	0	3	0	0	0
whitneymight	1	1	2	12	2	-1	1	510	1.15686	226	0.00398484	0.058172	254	3	154348	196478
urdoing2muchif	2	2	4	14	6	-6	1	216	0.0740741	1	0	0	2	1	6773	6773
girlsfact	3	3	4	9	2	-21	1	25	0.48	3	0	0	4	0	0	0
itbetheones	3	5	6	11	4	-5	1	25	0	0	0	0	1	0	0	0
sandraroseface	1	1	3	14	3	-19	1	291	2.26804	178	0.0312108	0.156427	205	5	251307	271801
inaperfectworld	7	7	8	15	4	-15	1	13	0.461538	2	0	0	3	0	0	0
helookgoodbut	2	3	4	13	4	-1	1	22	0.0909091	1	0	0	2	0	0	0
pineconebaby	69	69	71	12	3	-19	1	32	0	0	0	0	1	0	0	0
wecandate	24	25	27	9	3	-14	22	17	0	0	0	0	1	0	0	0
mcflybr!	5	6	178	8	2	-10	1	16	0.125	1	0	0	2	0	0	0
AaronNeale	1	1	3	10	2	-15	1	358	0.217877	3	0.2	0.00651769	7	0	0	0
nottosayonfirstdate	2	2	5	19	6	-16	1	40	0.35	2	0.6	0.075	3	0	0	0
shouldabeenasingle	2	3	4	18	4	-1	1	39	0.102564	2	0	0	3	0	0	0
pendetindonesia	2	2	5	15	2	-24	1	80	0.5	9	0.12766	0.0215278	12	0	0	0
nomaintenance	2	2	4	13	2	-4	1	161	0.459627	8	0.0555556	0.0126442	21	1	8354	8354
iremember	9	20	31	9	2	-24	8	42	0.52381	5	0	0	8	0	0	0
SMARTPEOPLE	2	2	3	11	2	-3	1	196	1.03061	87	0.0031881	0.0306177	96	2	226311	257648
mcflybr%	5	7	8	8	2	-4	1	14	0.142857	1	0	0	2	0	0	0
followS4C	12	66	78	9	2	-14	1	21	0.190476	2	0	0	3	0	0	0
ZacPleaseFollowMe	2	2	5	17	4	-1	1	10	0	0	0	0	1	0	0	0
britneyhasmyheart	4	5	6	17	4	-2	4	94	1.19149	26	0.163399	0.0930252	37	0	0	0
ipod	404	404	405	4	1	-12	404	531	1.11488	20	0.124364	0.0492877	166	6	41045	99911
JonasForChristmas	2	3	5	17	3	-11	1	33	0.0606061	1	0	0	2	0	0	0
patrondidit	2	2	3	11	3	-5	1	1	0	0	0	0	1	0	0	0
adamfarted	1	1	2	10	2	-22	1	258	1.58915	44	0.0866185	0.0808102	114	2	8404	12474
weightlesswednesday	13	13	27	19	2	-5	13	57	0.0350877	1	0	0	2	0	0	0
virginradiomontreal	1	1	2	19	4	-17	1	219	4.3105	131	0.0716893	0.227413	195	2	89037	98098
donttalktomeabouthiphop	2	2	4	23	6	-21	1	107	2.05607	30	0.102079	0.134252	72	4	9872	29191
HappyBDaySouljaBoy	1	1	2	18	4	-21	1	305	1.91475	285	0.000444631	0.0393447	287	2	1241331	1245685
everlastingsong	3	3	4	15	3	-19	1	17	0.588235	3	0	0	4	1	9559	9559
BeatCancer%	13	42	60	11	2	-5	14	12	0	0	0	0	1	0	0	0
CN4Iran	1	1	2	7	2	-8	1	167	3.1497	60	0.115223	0.143671	105	3	4789	13942
